"Game.ID","Team","Player","Player.ID","Minutes.Played","Field.Goals","Field.Goal.Attempts","Field.Goal.Percentage","X3.Point.Field.Goals","X3.Point.Field.Goal.Attempts","X3.Point.Field.Goal.Percentage","Free.Throws","Free.Throw.Attempts","Free.Throw.Percentage","Offensive.Rebounds","Defensive.Rebounds","Total.Rebounds","Assists","Steals","Blocks","Turnovers","Personal.Fouls","Points","Plus.Minus"
"303","201211020BOS","BOS","Kevin Garnett","garneke01","25:30:00",6,14,0.429,0,0,NA,3,5,0.6,1,3,4,0,1,2,1,1,15,-4
"304","201211020BOS","BOS","Jeff Green","greenje02","26:42:00",5,9,0.556,1,4,0.25,0,0,NA,0,1,1,0,2,1,1,0,11,-16
"305","201211020BOS","BOS","Jason Terry","terryja01","24:41:00",4,6,0.667,2,2,1,0,0,NA,0,2,2,2,0,0,3,4,10,1
"306","201211020BOS","BOS","Jared Sullinger","sullija01","17:59",2,5,0.4,0,0,NA,2,2,1,3,4,7,0,1,1,0,4,6,-4
"307","201211020BOS","BOS","Leandro Barbosa","barbole01","7:13",1,3,0.333,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,2,3
"308","201211020BOS","BOS","Darko Milicic","milicda01","4:30",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,2,1,0,-3
"309","201211020BOS","BOS","Chris Wilcox","wilcoch01","2:37",0,0,NA,0,0,NA,2,2,1,0,1,1,1,0,0,0,0,2,9
"310","201211020BOS","BOS","Kris Joseph","josepkr01","2:37",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,1,0,0,9
"311","201211020CHA","IND","Paul George","georgpa01","36:00:00",4,11,0.364,2,5,0.4,2,2,1,1,6,7,6,1,0,5,3,12,-4
"312","201211020CHA","IND","David West","westda01","34:02:00",7,17,0.412,0,0,NA,0,2,0,0,6,6,2,1,0,1,1,14,-11
"313","201211020CHA","IND","George Hill","hillge01","33:54:00",3,9,0.333,1,6,0.167,1,1,1,0,4,4,1,0,0,2,2,8,-8
"314","201211020CHA","IND","Gerald Green","greenge01","31:54:00",3,12,0.25,1,6,0.167,0,4,0,1,3,4,0,0,1,2,2,7,-16
"315","201211020CHA","IND","Roy Hibbert","hibbero01","23:43",3,4,0.75,0,0,NA,1,2,0.5,6,1,7,1,0,1,2,4,7,-6
"316","201211020CHA","IND","Lance Stephenson","stephla01","25:06:00",6,9,0.667,2,3,0.667,1,2,0.5,0,6,6,4,2,0,3,0,15,13
"317","201211020CHA","IND","Ian Mahinmi","mahinia01","21:31",2,5,0.4,0,0,NA,3,4,0.75,2,6,8,0,0,1,1,1,7,6
"318","201211020CHA","IND","D.J. Augustin","augusdj01","16:46",1,7,0.143,1,5,0.2,0,0,NA,0,4,4,5,0,0,0,1,3,11
"319","201211020CHA","IND","Tyler Hansbrough","hansbty01","16:44",4,9,0.444,0,1,0,7,8,0.875,4,2,6,0,1,2,1,2,15,9
"320","201211020CHA","IND","Sam Young","youngsa01","0:20",0,0,NA,0,0,NA,1,2,0.5,0,0,0,0,0,0,0,0,1,1
"321","201211020CHA","CHA","Gerald Henderson","hendege02","35:31:00",6,14,0.429,2,5,0.4,4,4,1,0,1,1,3,5,2,2,4,18,10
"322","201211020CHA","CHA","Kemba Walker","walkeke02","33:01:00",10,21,0.476,1,1,1,9,10,0.9,3,2,5,3,1,1,1,1,30,13
"323","201211020CHA","CHA","Brendan Haywood","haywobr01","31:14:00",1,3,0.333,0,0,NA,2,4,0.5,3,6,9,2,0,0,1,5,4,14
"324","201211020CHA","CHA","Byron Mullens","mulleby01","31:06:00",3,10,0.3,0,6,0,0,0,NA,2,5,7,2,2,2,0,2,6,12
"325","201211020CHA","CHA","Michael Kidd-Gilchrist","kiddgmi01","19:37",1,7,0.143,0,0,NA,0,0,NA,2,5,7,1,0,2,1,0,2,12
"326","201211020CHA","CHA","Ben Gordon","gordobe01","22:03",4,8,0.5,2,4,0.5,0,0,NA,0,2,2,2,0,0,1,1,10,-11
"327","201211020CHA","CHA","Ramon Sessions","sessira01","21:19",3,8,0.375,1,1,1,4,4,1,0,2,2,4,1,0,2,3,11,-12
"328","201211020CHA","CHA","Tyrus Thomas","thomaty01","16:54",1,9,0.111,0,0,NA,2,2,1,0,3,3,1,1,0,1,4,4,-11
"329","201211020CHA","CHA","Bismack Biyombo","biyombi01","16:46",1,2,0.5,0,0,NA,0,0,NA,0,4,4,0,0,2,0,1,2,-13
"330","201211020CHA","CHA","Reggie Williams","willire02","12:29",1,3,0.333,1,2,0.5,0,0,NA,0,1,1,0,0,0,1,1,3,-9
"331","201211020CLE","CHI","Joakim Noah","noahjo01","31:45:00",4,6,0.667,0,0,NA,2,2,1,1,4,5,1,2,0,4,3,10,30
"332","201211020CLE","CHI","Luol Deng","denglu01","30:50:00",5,8,0.625,1,2,0.5,3,3,1,1,4,5,1,1,2,1,0,14,27
"333","201211020CLE","CHI","Carlos Boozer","boozeca01","27:13:00",7,11,0.636,0,0,NA,5,7,0.714,1,6,7,6,1,0,3,2,19,18
"334","201211020CLE","CHI","Richard Hamilton","hamilri01","26:35:00",8,12,0.667,0,2,0,3,3,1,0,1,1,2,0,0,2,2,19,18
"335","201211020CLE","CHI","Kirk Hinrich","hinriki01","17:23",3,4,0.75,0,0,NA,3,4,0.75,1,2,3,6,1,1,0,4,9,21
"336","201211020CLE","CHI","Nate Robinson","robinna01","27:05:00",7,9,0.778,2,3,0.667,0,0,NA,0,5,5,12,1,0,3,3,16,6
"337","201211020CLE","CHI","Marco Belinelli","belinma01","21:25",3,4,0.75,0,1,0,2,3,0.667,0,2,2,0,1,0,1,1,8,11
"338","201211020CLE","CHI","Taj Gibson","gibsota01","18:12",3,7,0.429,0,0,NA,2,4,0.5,0,6,6,1,0,1,1,2,8,9
"339","201211020CLE","CHI","Jimmy Butler","butleji01","17:10",3,4,0.75,0,0,NA,2,2,1,1,3,4,1,0,0,1,0,8,2
"340","201211020CLE","CHI","Nazr Mohammed","mohamna01","16:15",0,1,0,0,0,NA,1,2,0.5,0,3,3,1,0,0,1,2,1,-1
"341","201211020CLE","CHI","Marquis Teague","teaguma01","3:32",0,1,0,0,0,NA,0,0,NA,0,0,0,3,0,0,0,1,0,2
"342","201211020CLE","CHI","Vladimir Radmanovic","radmavl01","2:35",1,2,0.5,1,2,0.5,0,0,NA,0,0,0,0,0,0,0,1,3,2
"343","201211020CLE","CLE","Kyrie Irving","irvinky01","30:01:00",6,15,0.4,0,1,0,3,6,0.5,1,1,2,4,1,0,4,2,15,-21
"344","201211020CLE","CLE","Anderson Varejao","varejan01","29:32:00",5,8,0.625,0,0,NA,2,2,1,2,3,5,2,0,0,1,0,12,-18
"345","201211020CLE","CLE","Dion Waiters","waitedi01","25:02:00",3,7,0.429,1,2,0.5,0,2,0,0,2,2,4,1,1,2,2,7,-9
"346","201211020CLE","CLE","Alonzo Gee","geeal01","24:49:00",4,9,0.444,2,3,0.667,2,2,1,2,2,4,1,1,0,3,2,12,-13
"347","201211020CLE","CLE","Tristan Thompson","thomptr01","23:32",2,6,0.333,0,0,NA,2,2,1,2,3,5,1,0,0,1,3,6,-5
"348","201211020CLE","CLE","Daniel Gibson","gibsoda01","20:59",1,4,0.25,1,3,0.333,0,0,NA,0,3,3,4,1,0,3,6,3,-17
"349","201211020CLE","CLE","C.J. Miles","milescj01","18:27",3,11,0.273,2,5,0.4,0,0,NA,0,1,1,2,1,0,1,1,8,-11
"350","201211020CLE","CLE","Donald Sloan","sloando01","17:59",1,3,0.333,1,2,0.5,1,2,0.5,1,1,2,5,0,0,1,1,4,-8
"351","201211020CLE","CLE","Samardo Samuels","samuesa01","17:50",3,5,0.6,0,0,NA,1,2,0.5,1,4,5,0,0,0,0,2,7,-11
"352","201211020CLE","CLE","Tyler Zeller","zellety01","14:17",3,5,0.6,0,0,NA,2,5,0.4,2,0,2,0,2,0,1,4,8,-7
"353","201211020CLE","CLE","Omri Casspi","casspom01","6:43",1,2,0.5,1,2,0.5,1,4,0.25,0,0,0,0,0,0,0,0,4,-8
"354","201211020CLE","CLE","Jon Leuer","leuerjo01","6:23",0,1,0,0,1,0,0,0,NA,0,2,2,0,0,0,0,0,0,-6
